wavelength,r_true,r_rec
400.0,0.0564,0.0396454894641
410.0,0.0558,0.0453226002194
420.0,0.0559,0.0497159514253
430.0,0.0562,0.0528255430819
440.0,0.0542,0.0546513751891
450.0,0.0521,0.055193447747
460.0,0.0517,0.0544517607556
470.0,0.0509,0.0525495036305
480.0,0.0505,0.0506261784675
490.0,0.05005,0.0489589614519
500.0,0.0478,0.0475478525838
510.0,0.0475,0.0463928518632
520.0,0.0464,0.04549395929
530.0,0.0454,0.0448511748643
540.0,0.0448,0.0446093437089
550.0,0.04475,0.04506720889
560.0,0.0431,0.0462338232275
570.0,0.0478,0.0481091867217
580.0,0.0528,0.0506932993724
590.0,0.05705,0.0539861611796
600.0,0.0575,0.0579308703044
610.0,0.0566,0.0606496660589
620.0,0.0581,0.0612321190189
630.0,0.0561,0.0596782291843
640.0,0.0555,0.0559879965551
650.0,0.0553,0.0501614211314
660.0,0.0534,0.042198502913
670.0,0.05375,0.0330955657095
680.0,0.0555,0.0269486074038
690.0,0.055,0.0242004385779
700.0,0.0571,0.0248510592318
710.0,0.0574,0.0289004693655
720.0,0.0585,0.036348668979
730.0,0.06055,0.0471956580723
